language,week,visits
ar-sa,5,5241
ar-sa,6,5232
ar-sa,7,5310
ar-sa,8,5137
ar-sa,9,5293
ar-sa,10,11871
ar-sa,11,15418
ar-sa,12,17207
ar-sa,13,17606
ar-sa,14,13627
ar-sa,15,12018
ar-sa,16,12362
ar-sa,17,12023
ar-sa,18,9685
ar-sa,19,7099
ar-sa,20,7216
ar-sa,21,5944
ar-sa,22,4447
ar-sa,23,3971
ar-sa,24,6213
ar-sa,25,6073
ar-sa,26,6566
ar-sa,27,6726
ar-sa,28,7186
ar-sa,29,7453
ar-sa,30,7204
ar-sa,31,6325
ar-sa,32,4744
ar-sa,33,5145
ar-sa,34,6363
ar-sa,35,6680
ar-sa,36,8481
ar-sa,37,10815
ar-sa,38,10387
ar-sa,39,11745
ar-sa,40,12872
ar-sa,41,13290
ar-sa,42,13762
ar-sa,43,13557
ar-sa,44,14165
ar-sa,45,14990
ar-sa,46,14771
ar-sa,47,15022
ar-sa,48,15131
ar-sa,49,14188
ar-sa,50,11221
ar-sa,51,9220
ar-sa,52,8645
ar-sd,10,350
ar-sd,11,475
ar-sd,12,707
ar-sd,13,935
ar-sd,14,514
ar-sd,16,215
ar-sd,17,814
ar-sd,18,497
ar-sd,28,625
ar-sd,29,1007
ar-sd,30,1119
ar-sd,31,969
ar-sd,32,428
ar-sd,33,114
ar-sd,34,1090
ar-sd,35,1204
ar-sd,36,1391
ar-sd,37,1705
ar-sd,38,1673
ar-sd,39,1702
ar-sd,40,1709
ar-sd,41,1925
ar-sd,42,1964
ar-sd,43,2024
ar-sd,44,1919
ar-sd,45,2189
ar-sd,46,2144
ar-sd,47,2102
ar-sd,48,2219
ar-sd,49,2305
ar-sd,50,2175
ar-sd,51,2125
ar-sd,52,2225
ar-sy,10,1017
ar-sy,11,1294
ar-sy,12,1399
ar-sy,13,1536
ar-sy,14,1398
ar-sy,15,1487
ar-sy,16,1677
ar-sy,17,1372
ar-sy,18,1396
ar-sy,19,1086
ar-sy,20,1175
ar-sy,21,1108
ar-sy,22,946
ar-sy,23,859
ar-sy,24,966
ar-sy,25,1013
ar-sy,26,918
ar-sy,27,1009
ar-sy,28,940
ar-sy,29,1001
ar-sy,30,966
ar-sy,31,984
ar-sy,32,810
ar-sy,33,974
ar-sy,34,767
ar-sy,35,872
ar-sy,36,970
ar-sy,37,1174
ar-sy,38,1188
ar-sy,39,1092
ar-sy,40,1199
ar-sy,41,1372
ar-sy,42,1422
ar-sy,43,1589
ar-sy,44,1552
ar-sy,45,1576
ar-sy,46,1408
ar-sy,47,1436
ar-sy,48,1378
ar-sy,49,1348
ar-sy,50,1370
ar-sy,51,1263
ar-sy,52,1331
