date,cases,deaths,daily_cases,daily_deaths
2020-05-21,1585373,94722,25733.0,1311.0
2020-05-22,1609172,96010,23799.0,1288.0
2020-05-23,1631440,97060,22268.0,1050.0
2020-05-24,1651471,97680,20031.0,620.0
2020-05-25,1670571,98190,19100.0,510.0
2020-05-26,1689467,98937,18896.0,747.0
2020-05-27,1708211,100422,18744.0,1485.0
2020-05-28,1730723,101622,22512.0,1200.0
2020-05-29,1755271,102812,24548.0,1190.0
2020-05-30,1778668,103775,23397.0,963.0
2020-05-31,1799302,104379,20634.0,604.0
2020-06-01,1821199,105113,21897.0,734.0
2020-06-02,1841990,106195,20791.0,1082.0
2020-06-03,1861977,107184,19987.0,989.0
2020-06-04,1883593,108192,21616.0,1008.0
2020-06-05,1912302,109304,28709.0,1112.0
2020-06-06,1934818,110032,22516.0,728.0
2020-06-07,1953434,110422,18616.0,390.0
2020-06-08,1971641,111144,18207.0,722.0
2020-06-09,1990446,112174,18805.0,1030.0
2020-06-10,2013298,113103,22852.0,929.0
2020-06-11,2036500,113980,23202.0,877.0
2020-06-12,2061993,114759,25493.0,779.0
2020-06-13,2087327,115451,25334.0,692.0
2020-06-14,2106457,115768,19130.0,317.0
2020-06-15,2126574,116216,20117.0,448.0
2020-06-16,2151459,116985,24885.0,769.0
2020-06-17,2177114,117746,25655.0,761.0
2020-06-18,2205173,118473,28059.0,727.0
2020-06-19,2236009,119171,30836.0,698.0
2020-06-20,2268034,119717,32025.0,546.0
2020-06-21,2294413,119974,26379.0,257.0
2020-06-22,2324879,120334,30466.0,360.0
2020-06-23,2359939,121167,35060.0,833.0
2020-06-24,2396928,121934,36989.0,767.0
2020-06-25,2438101,124400,41173.0,2466.0
2020-06-26,2483629,125033,45528.0,633.0
2020-06-27,2525928,125544,42299.0,511.0
2020-06-28,2565436,125815,39508.0,271.0
2020-06-29,2604932,126162,39496.0,347.0
2020-06-30,2653321,127462,48389.0,1300.0
2020-07-01,2703296,128104,49975.0,642.0
2020-07-02,2758855,128827,55559.0,723.0
2020-07-03,2816009,129418,57154.0,591.0
2020-07-04,2866015,129679,50006.0,261.0
2020-07-05,2910782,129941,44767.0,262.0
2020-07-06,2958098,130332,47316.0,391.0
2020-07-07,3012182,131290,54084.0,958.0
2020-07-08,3071637,132238,59455.0,948.0
2020-07-09,3131526,133079,59889.0,841.0
2020-07-10,3199753,133907,68227.0,828.0
2020-07-11,3260474,134582,60721.0,675.0
2020-07-12,3318279,134977,57805.0,395.0
2020-07-13,3379846,135402,61567.0,425.0
2020-07-14,3445448,136356,65602.0,954.0
2020-07-15,3513790,137327,68342.0,971.0
2020-07-16,3589477,138285,75687.0,958.0
2020-07-17,3660400,139186,70923.0,901.0
2020-07-18,3722851,139961,62451.0,775.0
2020-07-19,3785126,140373,62275.0,412.0
2020-07-20,3845014,140904,59888.0,531.0
2020-07-21,3910291,142031,65277.0,1127.0
2020-07-22,3980030,143167,69739.0,1136.0
2020-07-23,4050036,144283,70006.0,1116.0
2020-07-24,4123561,145429,73525.0,1146.0
2020-07-25,4190337,146313,66776.0,884.0
2020-07-26,4244554,146753,54217.0,440.0
2020-07-27,4303735,148449,59181.0,1696.0
2020-07-28,4366851,149776,63116.0,1327.0
2020-07-29,4433633,151172,66782.0,1396.0
2020-07-30,4502581,152433,68948.0,1261.0
2020-07-31,4571669,153862,69088.0,1429.0
2020-08-01,4628497,154917,56828.0,1055.0
2020-08-02,4679291,155337,50794.0,420.0
2020-08-03,4726775,155945,47484.0,608.0
2020-08-04,4780324,157301,53549.0,1356.0
2020-08-05,4834047,158554,53723.0,1253.0
2020-08-06,4891561,159625,57514.0,1071.0
2020-08-07,4952718,160981,61157.0,1356.0
2020-08-08,5007958,161947,55240.0,966.0
2020-08-09,5056438,162486,48480.0,539.0
2020-08-10,5103611,163023,47173.0,537.0
2020-08-11,5156968,164474,53357.0,1451.0
2020-08-12,5211246,165952,54278.0,1478.0
2020-08-13,5265307,167165,54061.0,1213.0
2020-08-14,5324784,168341,59477.0,1176.0
2020-08-15,5375527,169400,50743.0,1059.0
2020-08-16,5417664,169915,42137.0,515.0
2020-08-17,5455187,170449,37523.0,534.0
2020-08-18,5498420,171798,43233.0,1349.0
2020-08-19,5541433,173093,43013.0,1295.0
2020-08-20,5587475,174136,46042.0,1043.0
2020-08-21,5636491,175297,49016.0,1161.0
2020-08-22,5681517,176247,45026.0,950.0
2020-08-23,5713850,176693,32333.0,446.0
2020-08-24,5754254,177197,40404.0,504.0
2020-08-25,5793385,178410,39131.0,1213.0
2020-08-26,5838532,179603,45147.0,1193.0
2020-08-27,5884368,180729,45836.0,1126.0
2020-08-28,5930932,181739,46564.0,1010.0
2020-08-29,5975541,182610,44609.0,871.0
2020-08-30,6008970,182984,33429.0,374.0
2020-08-31,6045457,183472,36487.0,488.0
2020-09-01,6089506,184563,44049.0,1091.0
2020-09-02,6121950,185639,32444.0,1076.0
2020-09-03,6168347,186717,46397.0,1078.0
2020-09-04,6220448,187697,52101.0,980.0
2020-09-05,6262701,188409,42253.0,712.0
2020-09-06,6292699,188820,29998.0,411.0
2020-09-07,6317865,189083,25166.0,263.0
2020-09-08,6346807,189541,28942.0,458.0
2020-09-09,6380139,190716,33332.0,1175.0
2020-09-10,6418200,191631,38061.0,915.0
2020-09-11,6465767,192858,47567.0,1227.0
2020-09-12,6504871,193559,39104.0,701.0
2020-09-13,6538214,193958,33343.0,399.0
2020-09-14,6575101,194408,36887.0,450.0
2020-09-15,6614318,195689,39217.0,1281.0
2020-09-16,6653586,196686,39268.0,997.0
2020-09-17,6698896,197535,45310.0,849.0
2020-09-18,6747783,198484,48887.0,949.0
2020-09-19,6789594,199154,41811.0,670.0
2020-09-20,6825950,199367,36356.0,213.0
2020-09-21,6880902,199797,54952.0,430.0
2020-09-22,6918293,200738,37391.0,941.0
2020-09-23,6959842,201828,41549.0,1090.0
2020-09-24,7005046,202713,45204.0,885.0
2020-09-25,7059627,203566,54581.0,853.0
2020-09-26,7102322,204335,42695.0,769.0
2020-09-27,7139620,204602,37298.0,267.0
2020-09-28,7176980,204952,37360.0,350.0
2020-09-29,7220677,205878,43697.0,926.0
2020-09-30,7262735,206852,42058.0,974.0
2020-10-01,7309153,207699,46418.0,847.0
2020-10-02,7362733,208564,53580.0,865.0
2020-10-03,7410512,209273,47779.0,709.0
2020-10-04,7445575,209606,35063.0,333.0
2020-10-05,7507988,210035,62413.0,429.0
2020-10-06,7550850,210756,42862.0,721.0
2020-10-07,7603867,211752,53017.0,996.0
2020-10-08,7660249,212680,56382.0,928.0
2020-10-09,7719211,213595,58962.0,915.0
2020-10-10,7770859,214187,51648.0,592.0
2020-10-11,7815642,214606,44783.0,419.0
2020-10-12,7863658,214957,48016.0,351.0
2020-10-13,7918051,215783,54393.0,826.0
2020-10-14,7977904,216792,59853.0,1009.0
2020-10-15,8043257,217585,65353.0,793.0
2020-10-16,8113721,218476,70464.0,891.0
2020-10-17,8166482,219154,52761.0,678.0
2020-10-18,8214364,219541,47882.0,387.0
2020-10-19,8279804,220058,65440.0,517.0
2020-10-20,8340398,220987,60594.0,929.0
2020-10-21,8404635,222195,64237.0,1208.0
2020-10-22,8479765,223023,75130.0,828.0
2020-10-23,8565062,223953,85297.0,930.0
2020-10-24,8643641,224825,78579.0,872.0
2020-10-25,8703356,225164,59715.0,339.0
2020-10-26,8777994,225701,74638.0,537.0
2020-10-27,8852381,226684,74387.0,983.0
2020-10-28,8934263,227702,81882.0,1018.0
2020-10-29,9024932,228706,90669.0,1004.0
2020-10-30,9124800,229674,99868.0,968.0
2020-10-31,9209007,230512,84207.0,838.0
2020-11-01,9283202,230940,74195.0,428.0
2020-11-02,9377208,231480,94006.0,540.0
2020-11-03,9469624,232610,92416.0,1130.0
2020-11-04,9577702,234226,108078.0,1616.0
2020-11-05,9699051,235334,121349.0,1108.0
2020-11-06,9831874,236582,132823.0,1248.0
2020-11-07,9957805,237589,125931.0,1007.0
2020-11-08,10061128,238053,103323.0,464.0
2020-11-09,10191572,238798,130444.0,745.0
2020-11-10,10331256,240262,139684.0,1464.0
2020-11-11,10474295,241693,143039.0,1431.0
2020-11-12,10637946,242865,163651.0,1172.0
2020-11-13,10819442,244255,181496.0,1390.0
2020-11-14,10978475,245465,159033.0,1210.0
2020-11-15,11113661,246088,135186.0,623.0
2020-11-16,11280224,246884,166563.0,796.0
2020-11-17,11441855,248491,161631.0,1607.0
2020-11-18,11614135,250415,172280.0,1924.0
2020-11-19,11801643,252376,187508.0,1961.0
2020-11-20,12000502,254333,198859.0,1957.0
2020-11-21,12172435,255758,171933.0,1425.0
2020-11-22,12313229,256601,140794.0,843.0
2020-11-23,12492852,257639,179623.0,1038.0
2020-11-24,12670710,259848,177858.0,2209.0
2020-11-25,12851300,262161,180590.0,2313.0
2020-11-26,12954294,263339,102994.0,1178.0
2020-11-27,13160133,264751,205839.0,1412.0
2020-11-28,13311541,265943,151408.0,1192.0
2020-11-29,13447663,266761,136122.0,818.0
2020-11-30,13615321,268031,167658.0,1270.0
2020-12-01,13799549,270639,184228.0,2608.0
2020-12-02,14000721,273525,201172.0,2886.0
2020-12-03,14218459,276381,217738.0,2856.0
2020-12-04,14449827,279018,231368.0,2637.0
2020-12-05,14655535,281208,205708.0,2190.0
2020-12-06,14827456,282319,171921.0,1111.0
2020-12-07,15031979,283853,204523.0,1534.0
2020-12-08,15251693,286674,219714.0,2821.0
2020-12-09,15471409,289830,219716.0,3156.0
2020-12-10,15697131,292771,225722.0,2941.0
2020-12-11,15977147,295726,280016.0,2955.0
2020-12-12,16184679,297981,207532.0,2255.0
2020-12-13,16368898,299338,184219.0,1357.0
2020-12-14,16569783,301016,200885.0,1678.0
2020-12-15,16772936,304041,203153.0,3025.0
2020-12-16,17017763,307652,244827.0,3611.0
2020-12-17,17255472,310950,237709.0,3298.0
2020-12-18,17506662,313820,251190.0,2870.0
2020-12-19,17700567,316381,193905.0,2561.0
2020-12-20,17880478,317810,179911.0,1429.0
2020-12-21,18081996,319773,201518.0,1963.0
2020-12-22,18283633,323012,201637.0,3239.0
2020-12-23,18511396,326424,227763.0,3412.0
2020-12-24,18704907,329248,193511.0,2824.0
2020-12-25,18805838,330377,100931.0,1129.0
2020-12-26,19022699,332023,216861.0,1646.0
2020-12-27,19174788,333253,152089.0,1230.0
2020-12-28,19363798,335152,189010.0,1899.0
2020-12-29,19564828,338780,201030.0,3628.0
2020-12-30,19793777,342588,228949.0,3808.0
2020-12-31,20024801,346050,231024.0,3462.0
